# Versioned candidate ledger extracted from ST1 of Teixeira 2025 bbaf589 (DOI 10.1093/bib/bbaf589) on 2026-09-07.
# assembly_accession/sra_run are intentionally empty pending NCBI
# resolution (see python/resolve_ncbi_accessions.py) -- this file is
# NOT yet valid input to `plasbench curate-cohort`, which requires
# both columns populated. Never merge these rows directly into a
# public-vN cohort: run resolve_ncbi_accessions.py, then
# curate-cohort, then a stratified pilot download/score, before any
# release (see docs/FINDING_DATA.md).
sample_id	assembly_accession	sra_run	organism	biosample	source_study	source_doi	source_table	paper_identifier	prior_illumina_assembly_source	illumina_instrument	prior_hybrid_assembly_source	long_read_instrument
enterobacter_hormaechei_bidmc100_001			Enterobacter hormaechei	SAMN03280191	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BIDMC100	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
escherichia_coli_bidmc106_002			Escherichia coli	SAMN03280214	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BIDMC106	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
citrobacter_freundii_complex_species_a_bidmc107_003			Citrobacter freundii complex (species A)	SAMN03280169	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BIDMC107	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
citrobacter_portucalensis_bidmc108_004			Citrobacter portucalensis	SAMN03280170	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BIDMC108	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
enterobacter_hormaechei_bidmc110_005			Enterobacter hormaechei	SAMN03280193	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BIDMC110	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
escherichia_coli_bidmc113_006			Escherichia coli	SAMN03280217	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BIDMC113	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
escherichia_coli_bidmc19a_007			Escherichia coli	SAMN02138646	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BIDMC19A	Cerqueira et al., 2017	HiSeq 2000	Salamzade et al., 2022	GridION
escherichia_coli_bidmc82_008			Escherichia coli	SAMN02581401	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BIDMC82	Cerqueira et al., 2017	HiSeq 2000	Salamzade et al., 2022	GridION
enterobacter_hormaechei_bidmc87_009			Enterobacter hormaechei	SAMN03280187	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BIDMC87	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
klebsiella_pneumoniae_bidmc89_010			Klebsiella pneumoniae	SAMN03280415	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	BIDMC89	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
