# Source: Teixeira et al. 2025, "Circling in on plasmids: benchmarking plasmid
# detection and reconstruction tools for short-read data from diverse
# species", Briefings in Bioinformatics 26(6):bbaf589, DOI 10.1093/bib/bbaf589.
# Table: Supplementary Table 1 (ST1) - "Biosample identifiers and assembly
# statistics for Enterobacterales and Enterococcus isolates", from
# circling_in_on_plasmids_-_supplementary_tables_bbaf589.xlsx.
# Extracted: 2026-09-07, by python/parse_teixeira2025_supplement.py's author,
# via openpyxl against the publisher-hosted xlsx (not committed here -- see
# the paper's own Supplementary data link at
# https://academic.oup.com/bib/article/26/6/bbaf589/8320154).
# Columns are ST1's own, verbatim: BioSample, Taxon, and Identifier (the
# paper's own isolate name), plus four columns describing each isolate's prior
# publication/sequencing-instrument provenance (ST1's own footnote: some
# Enterobacterales isolates had previously published Illumina-only assemblies,
# but new Illumina-only assemblies were generated for this study regardless).
# This is a raw, unmodified transcription -- it is not itself a candidate
# table (no assembly_accession/sra_run; see
# python/parse_teixeira2025_supplement.py and teixeira2025_candidates.tsv).

biosample	taxon	identifier	prior_illumina_assembly_source	illumina_instrument	prior_hybrid_assembly_source	long_read_instrument
SAMN03280191	Enterobacter hormaechei	BIDMC100	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN03280214	Escherichia coli	BIDMC106	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN03280169	Citrobacter freundii complex (species A)	BIDMC107	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN03280170	Citrobacter portucalensis	BIDMC108	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
SAMN03280193	Enterobacter hormaechei	BIDMC110	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN03280217	Escherichia coli	BIDMC113	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN02138646	Escherichia coli	BIDMC19A	Cerqueira et al., 2017	HiSeq 2000	Salamzade et al., 2022	GridION
SAMN02581401	Escherichia coli	BIDMC82	Cerqueira et al., 2017	HiSeq 2000	Salamzade et al., 2022	GridION
SAMN03280187	Enterobacter hormaechei	BIDMC87	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN03280415	Klebsiella pneumoniae	BIDMC89	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN03280189	Enterobacter hormaechei	BIDMC94	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
SAMN03280208	Escherichia coli	BIDMC98	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN02138592	Enterobacter hormaechei	BWH27	Cerqueira et al., 2017	HiSeq 2000	newly sequenced	GridION
SAMN02138596	Enterobacter asburiae	BWH31	Cerqueira et al., 2017	HiSeq 2000	newly sequenced	GridION
SAMN02138600	Enterobacter hormaechei	BWH37	Cerqueira et al., 2017	HiSeq 2000	Salamzade et al., 2022	GridION
SAMN03280195	Escherichia coli	BWH49	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN03280196	Escherichia coli	BWH50	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN03280432	Serratia marcescens	BWH56	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN03280199	Serratia marcescens	BWH57	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN04521876	Escherichia coli	BWH69	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148225	Escherichia coli	BWH73	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148229	Serratia marcescens	BWH77	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148230	Klebsiella pneumoniae	BWH78	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN02138541	Enterobacter hormaechei	MGH1	Cerqueira et al., 2017	HiSeq 2000	newly sequenced	GridION
SAMN03280398	Klebsiella pneumoniae	MGH101	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN03280163	Citrobacter freundii complex (species A)	MGH103	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
SAMN03280165	Citrobacter portucalensis	MGH105	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
SAMN03280167	Citrobacter freundii complex (species A)	MGH109	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN03280402	Klebsiella quasipneumoniae	MGH113	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN03280183	Enterobacter hormaechei	MGH119	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN03280205	Escherichia coli	MGH121	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN03280408	Klebsiella quasipneumoniae	MGH123	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN04521880	Escherichia coli	MGH129	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN04521883	Enterobacter roggenkampii	MGH132	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN02138554	Enterobacter hormaechei	MGH14	Cerqueira et al., 2017	HiSeq 2000	Salamzade et al., 2022	GridION
SAMN04521892	Escherichia coli	MGH143	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN04521896	Klebsiella pneumoniae	MGH147	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN04521898	Klebsiella pneumoniae	MGH149	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN02138555	Enterobacter hormaechei	MGH15	Cerqueira et al., 2017	HiSeq 2000	newly sequenced	GridION
SAMN04521900	Citrobacter amalonaticus	MGH151	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN04521902	Klebsiella pneumoniae	MGH153	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN04521908	Enterobacter hormaechei	MGH159	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN04521910	Klebsiella pneumoniae	MGH161	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN04521926	Enterobacter hormaechei	MGH177	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN04521932	Pluralibacter gergoviae	MGH183	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148243	Klebsiella pneumoniae	MGH189	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148289	Klebsiella pneumoniae	MGH193	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148235	Enterobacter hormaechei	MGH197	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148251	Klebsiella pneumoniae	MGH211	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148253	Citrobacter freundii complex (species A)	MGH214	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148295	Escherichia coli	MGH217	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148256	Enterobacter hormaechei	MGH219	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148259	Serratia marcescens	MGH225	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148241	Klebsiella pneumoniae	MGH230	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148266	Klebsiella aerogenes	MGH233	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148269	Enterobacter roggenkampii	MGH239	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148270	Enterobacter kobei	MGH240	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148273	Enterobacter asburiae	MGH243	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148275	Serratia marcescens	MGH245	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148277	Klebsiella aerogenes	MGH247	Salamzade et al., 2022	HiSeq 2500/HiSeq X	newly sequenced	GridION
SAMN08148341	Citrobacter freundii	MGH279	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
SAMN08148335	Citrobacter freundii	MGH281	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
SAMN08148334	Citrobacter freundii	MGH281c	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
SAMN08148336	Citrobacter freundii	MGH283	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
SAMN02138543	Enterobacter hormaechei	MGH3	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
SAMN02138577	Enterobacter kobei	MGH37	Cerqueira et al., 2017	HiSeq 2000	newly sequenced	GridION
SAMN02138579	Klebsiella pneumoniae	MGH39	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
SAMN02138583	Klebsiella pneumoniae	MGH43	Cerqueira et al., 2017	HiSeq 2000	newly sequenced	GridION
SAMN02138546	Enterobacter hormaechei	MGH6	Cerqueira et al., 2017	HiSeq 2000	newly sequenced	GridION
SAMN02138547	Enterobacter hormaechei	MGH7	Salamzade et al., 2022	HiSeq 2500/HiSeq X	Salamzade et al., 2022	GridION
