tool	method_class	binning_capable	primary_input	description	analysis_track	requires_independent_long_read_truth
mob_recon	binning	yes	assembly	Groups contigs into MOB plasmid reconstructions.	short_read	no
platon	classification	no	assembly	Classifies individual assembly contigs.	short_read	no
plasmidspades	reassembly	no	paired_reads	Reassembles plasmid-enriched contigs; contigs are not bins.	short_read	no
gplas2_mob	binning	yes	assembly_graph	Graph binning seeded from validated MOB membership.	short_read	no
gplas2_external	binning	yes	assembly_graph	Graph binning with externally validated classifier labels.	short_read	no
flye_mob_recon	binning	yes	long_reads	Flye long-read assembly followed by MOB-Recon plasmid bins.	long_read	yes
plassembler	reassembly	yes	hybrid_reads	Hybrid long+short plasmid assembly; each output contig is one plasmid.	hybrid	yes
hybracter_long	reassembly	yes	long_reads	Hybracter long-read-only assembly with Plassembler-based plasmid recovery.	long_read	yes
hybracter_hybrid	reassembly	yes	hybrid_reads	Hybracter hybrid assembly with Plassembler-based plasmid recovery.	hybrid	yes
trycycler_mob_recon	binning	yes	long_reads	Trycycler consensus long-read assembly followed by MOB-Recon plasmid bins.	long_read	yes
genomad	ml_classification	no	assembly	Gene-based neural classifier for plasmid/virus detection on assembly contigs.	short_read	no
plasme	ml_classification	no	assembly	Alignment+transformer hybrid classifier for plasmid contigs (short-read assemblies in this delivery).	short_read	no
rfplasmid	ml_classification	no	assembly	Random-forest classifier over single-copy marker genes, plasmid genes, and kmers, per species/genus model.	short_read	no
plasmidhunter	ml_classification	no	assembly	Diamond+Prodigal gene-content classifier (Naive Bayes) for plasmid/chromosome contigs; species-agnostic single model.	short_read	no
plasmer	ml_classification	no	assembly	Multi-tool ensemble (kmer-db/Prodigal/HMMER/BLAST/Infernal/Diamond/Kraken2) feeding a random-forest classifier; requires a custom conda channel and a documented 32GB RAM minimum.	short_read	no
plascope	classification	no	assembly	Centrifuge-based hard classification (chromosome/plasmid/unclassified) against a species-specific database; E. coli and Klebsiella only.	short_read	no
plasgraph2	ml_classification	no	assembly_graph	GNN per-node classifier over the assembly graph; no derived multi-contig grouping in its own output.	short_read	no
mob_like	binning	yes	assembly	Demo binner: clean full-length reconstructions.	short_read	no
platon_like	classification	no	assembly	Demo contig classifier; declares no bins.	short_read	no
spades_like	reassembly	no	paired_reads	Demo re-assembler; contigs are not bins.	short_read	no
gplas_like	binning	yes	assembly_graph	Demo graph binner that splits and merges.	short_read	no
weak_like	classification	no	assembly	Demo weak classifier; partial, ambiguous output.	short_read	no
