biosample	sample_id	assembly_accession	sra_run	source_cohort
SAMEA112648784	staphylococcus_aureus_015	GCF_033061535.1	ERR10898915	public-v2
SAMEA2055444	salmonella_enterica_059	GCF_001359015.2	ERR331380	public-v2
SAMN04011426	klebsiella_pneumoniae_001	GCF_001316565.3	SRR2244244	public-v2
SAMN07163940	salmonella_enterica_055	GCF_002266085.2	SRR5627240	public-v2
SAMN10390469	klebsiella_pneumoniae_006	GCF_011065365.1	SRR8175017	public-v2
SAMN11056402	salmonella_enterica_057	GCF_009729975.1	SRR9163323	public-v2
SAMN11056403	salmonella_enterica_056	GCF_009729955.1	SRR9163435	public-v2
SAMN11056427	salmonella_enterica_058	GCF_009730015.1	SRR9172122	public-v2
SAMN12263369	arbank_0346	GCF_017579865.1	SRR13296941	public-v2
SAMN12272266	arbank_0349	GCF_008152105.1	SRR10076548	public-v2
SAMN13497075	klebsiella_pneumoniae_002	GCF_017161135.1	SRR10686561	public-v2
SAMN14082726	klebsiella_pneumoniae_004	GCF_017161485.1	SRR11248994	public-v2
SAMN14858807	klebsiella_pneumoniae_003	GCF_017161155.1	SRR12628168	public-v2
SAMN15075992	upec_ecpf5	GCF_013372425.1	SRR11905454	public-v2
SAMN15075993	upec_ecpf7	GCF_013372405.1	SRR11905453	public-v2
SAMN15075994	upec_ecpf14	GCF_013372385.1	SRR11905452	public-v2
SAMN15075995	upec_ecpf15	GCF_013372365.1	SRR11905451	public-v2
SAMN15075996	upec_ecpf16	GCF_013372345.1	SRR11905450	public-v2
SAMN15075997	upec_ecpf18	GCF_013372325.1	SRR11905449	public-v2
SAMN15075998	upec_ecpf40	GCF_013372305.1	SRR11905448	public-v2
SAMN25597006	tahini_salmonella	GCF_022162985.1	SRR17858528	public-v2
SAMN41579871	escherichia_coli_018	GCF_052884645.1	SRR29213340	public-v2
SAMN41579897	escherichia_coli_016	GCF_048572705.1	SRR29213360	public-v2
SAMN41579907	escherichia_coli_017	GCF_052063125.1	SRR29213349	public-v2
SAMN42110409	acinetobacter_baumannii_009	GCF_040543095.1	SRR29606790	public-v2
SAMN48008035	acinetobacter_baumannii_007	GCF_052071855.1	SRR33156106	public-v2
SAMN48008040	acinetobacter_baumannii_008	GCF_052905705.1	SRR33156114	public-v2
SAMN48700594	escherichia_coli_047	GCF_050749065.1	SRR33679773	public-v2
SAMN48700596	escherichia_coli_049	GCF_051136165.1	SRR33679771	public-v2
SAMN48700602	escherichia_coli_048	GCF_051136175.1	SRR33679775	public-v2
SAMN51205876	escherichia_coli_036	GCF_052938815.1	SRR35329238	public-v2
SAMN51205877	escherichia_coli_034	GCF_052907635.1	SRR35329237	public-v2
