sample_id	assembly_accession	sra_run	organism	truth_technology	truth_quality_tier	biosample	bioproject	sample_origin	read_depth_x	source_study	gram_group	collection_country
# ---------------------------------------------------------------------------
# Fill this in with YOUR matched pairs. One isolate per row.
#   sample_id          : any short unique name you choose (no spaces)
#   assembly_accession : a COMPLETE genome assembly (GCF_... or GCA_...)
#                        built from long-read / hybrid data -> ground truth
#   sra_run            : the matched Illumina run (SRR/ERR/DRR) for that isolate
#   organism           : NCBI scientific name, for cohort stratification
#   truth_technology   : long_read, hybrid, or other documented truth technology
#   truth_quality_tier : evidence grade, checked by `plasbench validate-cohort --online`
#                        A = all NCBI evidence verified AND source_study names a reviewed study
#                        B = all NCBI evidence verified, source_study absent or pending review
#                        C = not yet verified online; --online resolves a row to A or B
#   biosample          : matched NCBI BioSample accession (SAMN.../SAMEA...)
#   bioproject         : NCBI BioProject accession (PRJNA.../PRJEB...)
#   sample_origin      : optional free-text cohort origin, e.g. clinical, environmental,
#                        livestock, wastewater, or a more specific local classification
#   read_depth_x       : optional estimated Illumina depth in fold coverage (for example 80)
#   source_study       : reviewed publication or collection this isolate comes from.
#                        Leave blank until reviewed; it decides tier A vs B (see above).
#   gram_group         : optional curator-supplied Gram-positive or Gram-negative stratum.
#   collection_country : optional curator-supplied country; separate from broad sample_origin.
#   truth_independent_of_long_reads : optional, yes/no. Only consulted by long-read/hybrid
#                        tools (Flye+MOB-Recon, Plassembler); short-read tools ignore it.
#                        Set yes only when this sample's long reads are NOT the reads its
#                        truth assembly was built from -- see docs/COHORTS.md and
#                        docs/METHODS.md's circularity section. Absent/empty/no means
#                        "assume circular", and such a tool is skipped for this sample.
#   truth_source        : optional, ncbi_deposited (default), self_assembled_hybrid, or
#                        simulated. Set self_assembled_hybrid ONLY when no Complete Genome
#                        assembly was ever deposited for this isolate -- assembly_accession
#                        then stays blank/NA, and PlasBench builds the truth reference
#                        itself via a Unicycler hybrid assembly (see long_read_sra_run
#                        below and docs/COHORTS.md). Such a row can never declare
#                        truth_independent_of_long_reads=yes (checked, not just advised):
#                        the truth is built from this isolate's own long reads.
#                        Set simulated for the OPPOSITE case: assembly_accession is a REAL
#                        reference (required, downloaded and used as truth unchanged), but
#                        reads are generated locally by python/simulate_reads.py
#                        (InSilicoSeq + Badread) instead of downloaded from SRA -- sra_run
#                        then holds a local read-file-prefix label, not a real accession
#                        (see simulation_seed etc. below and docs/COHORTS.md).
#   long_read_sra_run   : required when truth_source=self_assembled_hybrid; the long-read
#                        (ONT/PacBio) SRA run PlasBench fetches and assembles alongside
#                        sra_run. Ignored/optional otherwise.
#   simulation_seed     : required when truth_source=simulated; an integer RNG seed passed
#                        to both InSilicoSeq and Badread for reproducible simulated reads.
#   simulation_short_depth_x : required when truth_source=simulated; the uniform simulated
#                        short-read depth (fold coverage) applied to every reference contig
#                        (chromosome and plasmid(s) alike -- a documented simplification).
#   simulation_long_depth_x  : required when truth_source=simulated; the simulated
#                        long-read depth (fold coverage), independent of the short-read one.
#   simulation_short_error_model : optional when truth_source=simulated; an InSilicoSeq
#                        --model value (default: config/config.sh's SIMULATE_SHORT_MODEL).
#   simulation_long_error_model  : optional when truth_source=simulated; a Badread
#                        --error_model/--qscore_model value (default: SIMULATE_LONG_MODEL).
#
# Lines starting with '#' and blank lines are ignored.
# A metadata-verified public seed panel is available at cohorts/public-v1.tsv.
#
# HOW TO FIND MATCHED PAIRS (see docs/FINDING_DATA.md for the full walkthrough):
#   1. On NCBI, find complete Enterobacterales assemblies with plasmids.
#   2. Open the BioSample; check it also has an Illumina SRA run.
#   3. Put the assembly accession and the SRR here.
#
# The three rows below are PLACEHOLDERS to show the format. Replace them.
# (They are commented out so the pipeline does not try to download them.)
# ---------------------------------------------------------------------------
# ecoli_01	GCF_000000000.1	SRR0000001	Escherichia coli	hybrid	A	SAMN00000001	PRJNA000001	clinical	85	Smith_2024_uropathogenic_ecoli	Gram-negative	Nigeria
# kpneu_01	GCF_000000000.2	SRR0000002	Klebsiella pneumoniae	long_read	B	SAMN00000002	PRJNA000001	environmental	60		Gram-negative	Nigeria
